track,path,genre,vlook,,track_id,genre2
2,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Hip-Hop,Hip-Hop,0,2,Hip-Hop
5,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Hip-Hop,Hip-Hop,0,5,Hip-Hop
10,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Pop,Pop,0,10,Pop
140,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Folk,Folk,0,140,Folk
141,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Folk,Folk,0,141,Folk
148,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Experimental,Experimental,0,148,Experimental
182,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Rock,Rock,0,182,Rock
190,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Folk,Folk,0,190,Folk
193,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Folk,Folk,0,193,Folk
194,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Folk,Folk,0,194,Folk
197,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Folk,Folk,0,197,Folk
200,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Folk,Folk,0,200,Folk
203,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Folk,Folk,0,203,Folk
204,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Folk,Folk,0,204,Folk
207,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Folk,Folk,0,207,Folk
210,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Folk,Folk,0,210,Folk
211,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Folk,Folk,0,211,Folk
212,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Folk,Folk,0,212,Folk
213,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Pop,Pop,0,213,Pop
255,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Rock,Rock,0,255,Rock
256,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Rock,Rock,0,256,Rock
368,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Rock,Rock,0,368,Rock
424,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Experimental,Experimental,0,424,Experimental
459,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Rock,Rock,0,459,Rock
534,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Folk,Folk,0,534,Folk
540,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Folk,Folk,0,540,Folk
546,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Folk,Folk,0,546,Folk
574,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Rock,Rock,0,574,Rock
602,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Folk,Folk,0,602,Folk
615,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Experimental,Experimental,0,615,Experimental
620,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Folk,Folk,0,620,Folk
621,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Folk,Folk,0,621,Folk
625,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Folk,Folk,0,625,Folk
666,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,International,International,0,666,International
667,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,International,International,0,667,International
676,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Hip-Hop,Hip-Hop,0,676,Hip-Hop
690,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Rock,Rock,0,690,Rock
694,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Hip-Hop,Hip-Hop,0,694,Hip-Hop
695,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,Hip-Hop,Hip-Hop,0,695,Hip-Hop
704,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,International,International,0,704,International
705,/home/vedantc6/Desktop/Projects/CS543-MusicGenreRecognition/Data/fma_small/000,International,International,0,705,International
