Grid Size, Rule Type, Terrain Type, Iterations
5,belief,flat,12
5,belief,hill,13
5,belief,forest,21
5,belief,cave,24
5,confidence,flat,3
5,confidence,hill,10
5,confidence,forest,18
5,confidence,cave,56
6,belief,flat,18
6,belief,hill,21
6,belief,forest,30
6,belief,cave,32
6,confidence,flat,5
6,confidence,hill,14
6,confidence,forest,26
6,confidence,cave,71
7,belief,flat,32
7,belief,hill,29
7,belief,forest,37
7,belief,cave,45
7,confidence,flat,4
7,confidence,hill,17
7,confidence,forest,35
7,confidence,cave,107
8,belief,flat,25
8,belief,hill,40
8,belief,forest,43
8,belief,cave,60
8,confidence,flat,8
8,confidence,hill,21
8,confidence,forest,47
8,confidence,cave,140
9,belief,flat,60
9,belief,hill,45
9,belief,forest,55
9,belief,cave,62
9,confidence,flat,8
9,confidence,hill,28
9,confidence,forest,58
9,confidence,cave,183
10,belief,flat,53
10,belief,hill,56
10,belief,forest,74
10,belief,cave,95
10,confidence,flat,10
10,confidence,hill,37
10,confidence,forest,66
10,confidence,cave,214
11,belief,flat,73
11,belief,hill,90
11,belief,forest,107
11,belief,cave,107
11,confidence,flat,14
11,confidence,hill,45
11,confidence,forest,86
11,confidence,cave,261
12,belief,flat,84
12,belief,hill,71
12,belief,forest,114
12,belief,cave,142
12,confidence,flat,15
12,confidence,hill,47
12,confidence,forest,105
12,confidence,cave,312
13,belief,flat,83
13,belief,hill,68
13,belief,forest,164
13,belief,cave,153
13,confidence,flat,17
13,confidence,hill,63
13,confidence,forest,128
13,confidence,cave,373
14,belief,flat,94
14,belief,hill,123
14,belief,forest,155
14,belief,cave,173
14,confidence,flat,18
14,confidence,hill,70
14,confidence,forest,154
14,confidence,cave,422
15,belief,flat,98
15,belief,hill,155
15,belief,forest,177
15,belief,cave,201
15,confidence,flat,22
15,confidence,hill,83
15,confidence,forest,169
15,confidence,cave,492
16,belief,flat,121
16,belief,hill,130
16,belief,forest,197
16,belief,cave,255
16,confidence,flat,22
16,confidence,hill,84
16,confidence,forest,194
16,confidence,cave,576
17,belief,flat,136
17,belief,hill,154
17,belief,forest,231
17,belief,cave,245
17,confidence,flat,35
17,confidence,hill,108
17,confidence,forest,205
17,confidence,cave,624
18,belief,flat,174
18,belief,hill,192
18,belief,forest,285
18,belief,cave,302
18,confidence,flat,36
18,confidence,hill,126
18,confidence,forest,248
18,confidence,cave,711
19,belief,flat,240
19,belief,hill,249
19,belief,forest,276
19,belief,cave,350
19,confidence,flat,33
19,confidence,hill,126
19,confidence,forest,263
19,confidence,cave,802
20,belief,flat,222
20,belief,hill,202
20,belief,forest,338
20,belief,cave,352
20,confidence,flat,48
20,confidence,hill,137
20,confidence,forest,298
20,confidence,cave,863
21,belief,flat,223
21,belief,hill,310
21,belief,forest,309
21,belief,cave,350
21,confidence,flat,51
21,confidence,hill,174
21,confidence,forest,346
21,confidence,cave,962
22,belief,flat,208
22,belief,hill,273
22,belief,forest,293
22,belief,cave,419
22,confidence,flat,58
22,confidence,hill,213
22,confidence,forest,373
22,confidence,cave,1061
23,belief,flat,213
23,belief,hill,345
23,belief,forest,432
23,belief,cave,504
23,confidence,flat,64
23,confidence,hill,201
23,confidence,forest,369
23,confidence,cave,1139
24,belief,flat,308
24,belief,hill,335
24,belief,forest,471
24,belief,cave,567
24,confidence,flat,50
24,confidence,hill,185
24,confidence,forest,418
24,confidence,cave,1260
25,belief,flat,378
25,belief,hill,267
25,belief,forest,503
25,belief,cave,506
25,confidence,flat,59
25,confidence,hill,259
25,confidence,forest,441
25,confidence,cave,1357
26,belief,flat,447
26,belief,hill,424
26,belief,forest,579
26,belief,cave,619
26,confidence,flat,51
26,confidence,hill,246
26,confidence,forest,480
26,confidence,cave,1482
27,belief,flat,368
27,belief,hill,454
27,belief,forest,471
27,belief,cave,725
27,confidence,flat,79
27,confidence,hill,299
27,confidence,forest,533
27,confidence,cave,1576
28,belief,flat,422
28,belief,hill,459
28,belief,forest,555
28,belief,cave,774
28,confidence,flat,78
28,confidence,hill,286
28,confidence,forest,581
28,confidence,cave,1686
29,belief,flat,523
29,belief,hill,471
29,belief,forest,732
29,belief,cave,829
29,confidence,flat,89
29,confidence,hill,316
29,confidence,forest,637
29,confidence,cave,1807
30,belief,flat,487
30,belief,hill,585
30,belief,forest,808
30,belief,cave,809
30,confidence,flat,114
30,confidence,hill,346
30,confidence,forest,618
30,confidence,cave,1974
31,belief,flat,538
31,belief,hill,660
31,belief,forest,611
31,belief,cave,755
31,confidence,flat,121
31,confidence,hill,379
31,confidence,forest,710
31,confidence,cave,2085
32,belief,flat,547
32,belief,hill,579
32,belief,forest,727
32,belief,cave,910
32,confidence,flat,92
32,confidence,hill,355
32,confidence,forest,745
32,confidence,cave,2209
33,belief,flat,625
33,belief,hill,731
33,belief,forest,930
33,belief,cave,1057
33,confidence,flat,118
33,confidence,hill,444
33,confidence,forest,805
33,confidence,cave,2377
34,belief,flat,638
34,belief,hill,740
34,belief,forest,841
34,belief,cave,847
34,confidence,flat,115
34,confidence,hill,457
34,confidence,forest,835
34,confidence,cave,2545
35,belief,flat,826
35,belief,hill,858
35,belief,forest,1113
35,belief,cave,1193
35,confidence,flat,115
35,confidence,hill,453
35,confidence,forest,873
35,confidence,cave,2671
36,belief,flat,654
36,belief,hill,806
36,belief,forest,991
36,belief,cave,1050
36,confidence,flat,123
36,confidence,hill,533
36,confidence,forest,957
36,confidence,cave,2826
37,belief,flat,564
37,belief,hill,959
37,belief,forest,859
37,belief,cave,1148
37,confidence,flat,122
37,confidence,hill,563
37,confidence,forest,1005
37,confidence,cave,2976
38,belief,flat,418
38,belief,hill,671
38,belief,forest,1235
38,belief,cave,1351
38,confidence,flat,107
38,confidence,hill,573
38,confidence,forest,1071
38,confidence,cave,3154
39,belief,flat,564
39,belief,hill,822
39,belief,forest,1261
39,belief,cave,1417
39,confidence,flat,150
39,confidence,hill,661
39,confidence,forest,1149
39,confidence,cave,3316
40,belief,flat,1340
40,belief,hill,966
40,belief,forest,1390
40,belief,cave,1485
40,confidence,flat,134
40,confidence,hill,598
40,confidence,forest,1188
40,confidence,cave,3524
41,belief,flat,1053
41,belief,hill,927
41,belief,forest,1402
41,belief,cave,1643
41,confidence,flat,197
41,confidence,hill,605
41,confidence,forest,1182
41,confidence,cave,3681
42,belief,flat,997
42,belief,hill,963
42,belief,forest,1408
42,belief,cave,1660
42,confidence,flat,197
42,confidence,hill,605
42,confidence,forest,1285
42,confidence,cave,3820
43,belief,flat,975
43,belief,hill,1236
43,belief,forest,1473
43,belief,cave,1537
43,confidence,flat,215
43,confidence,hill,685
43,confidence,forest,1220
43,confidence,cave,4074
44,belief,flat,981
44,belief,hill,1308
44,belief,forest,1729
44,belief,cave,1782
44,confidence,flat,142
44,confidence,hill,684
44,confidence,forest,1451
44,confidence,cave,4160
45,belief,flat,999
45,belief,hill,1332
45,belief,forest,1405
45,belief,cave,1925
45,confidence,flat,241
45,confidence,hill,834
45,confidence,forest,1542
45,confidence,cave,4458
46,belief,flat,786
46,belief,hill,1055
46,belief,forest,1486
46,belief,cave,1972
46,confidence,flat,187
46,confidence,hill,818
46,confidence,forest,1593
46,confidence,cave,4626
47,belief,flat,838
47,belief,hill,1492
47,belief,forest,1689
47,belief,cave,1848
47,confidence,flat,216
47,confidence,hill,695
47,confidence,forest,1619
47,confidence,cave,4853
48,belief,flat,1131
48,belief,hill,1454
48,belief,forest,1862
48,belief,cave,2097
48,confidence,flat,283
48,confidence,hill,895
48,confidence,forest,1692
48,confidence,cave,5057
49,belief,flat,770
49,belief,hill,1432
49,belief,forest,1685
49,belief,cave,1907
49,confidence,flat,276
49,confidence,hill,901
49,confidence,forest,1872
49,confidence,cave,5255
